10016	IGNORE	Missing Anti-clickjacking Header
10021	IGNORE	X-Content-Type-Options Header Missing
10020	IGNORE	X-Frame-Options Header Not Set
10038	IGNORE	Content Security Policy (CSP) Header Not Set
10037	IGNORE	Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
10202	IGNORE	Absence of Anti-CSRF Tokens
90022	IGNORE	Application Error Disclosure
10017	IGNORE	Cross-Domain JavaScript Source File Inclusion
90027	IGNORE	Cookie Slack Detector
10098	IGNORE	Cross-Domain Misconfiguration
10096	WARN	Timestamp Disclosure
10055	WARN	CSP: Wildcard Directive
90033	WARN	Loosely Scoped Cookie 